,points,+/-
Monterrey,31.0,4.956984031716331
Leon,30.0,5.157656194185244
America,29.200000000000045,4.952519202027029
Cruz_Azul,29.0,5.528348183104392
Guadalajara,29.0,5.355063744504608
Pachuca,28.0,5.211367320516694
UANL,28.0,5.168972555283814
Puebla,27.0,5.049982011682647
Atlas,23.0,5.161604514214661
Toluca,23.0,5.013455368778577
Pumas_UNAM,22.0,4.8580239188785805
Santos_Laguna,22.0,4.979302104657785
Necaxa,22.0,5.0178635847295565
Atletico,22.0,5.3917074762555055
Tijuana,21.0,5.03308682251389
FC_Juarez,20.0,4.819425885503985
Queretaro,20.0,5.116519302198494
Mazatlan,19.0,4.779732716883324
