,Equipo,MetaEquipo,Tabla,Link,TableNo
0,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2003-2004/America-Stats#all_stats_standard,0
1,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2004-2005/America-Stats#all_stats_standard,0
2,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2005-2006/America-Stats#all_stats_standard,0
3,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2006-2007/America-Stats#all_stats_standard,0
4,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2007-2008/America-Stats#all_stats_standard,0
5,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2008-2009/America-Stats#all_stats_standard,0
6,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2009-2010/America-Stats#all_stats_standard,0
7,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2010-2011/America-Stats#all_stats_standard,0
8,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2011-2012/America-Stats#all_stats_standard,0
9,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2012-2013/America-Stats#all_stats_standard,0
10,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2013-2014/America-Stats#all_stats_standard,0
11,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2014-2015/America-Stats#all_stats_standard,0
12,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2015-2016/America-Stats#all_stats_standard,0
13,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2016-2017/America-Stats#all_stats_standard,0
14,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2017-2018/America-Stats#all_stats_standard,0
15,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2018-2019/America-Stats#all_stats_standard,0
16,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2019-2020/America-Stats#all_stats_standard,0
17,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2020-2021/America-Stats#all_stats_standard,0
18,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2021-2022/America-Stats#all_stats_standard,0
19,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2022-2023/America-Stats#all_stats_standard,0
20,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2023-2024/America-Stats#all_stats_standard,0
20,América,America,America_standard_stats,https://fbref.com/en/squads/18d3c3a3/2023-2024/America-Stats#all_stats_standard,0
21,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2003-2004/America-Stats#all_matchlogs,1
22,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2004-2005/America-Stats#all_matchlogs,1
23,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2005-2006/America-Stats#all_matchlogs,1
24,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2006-2007/America-Stats#all_matchlogs,1
25,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2007-2008/America-Stats#all_matchlogs,1
26,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2008-2009/America-Stats#all_matchlogs,1
27,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2009-2010/America-Stats#all_matchlogs,1
28,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2010-2011/America-Stats#all_matchlogs,1
29,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2011-2012/America-Stats#all_matchlogs,1
30,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2012-2013/America-Stats#all_matchlogs,1
31,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2013-2014/America-Stats#all_matchlogs,1
32,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2014-2015/America-Stats#all_matchlogs,1
33,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2015-2016/America-Stats#all_matchlogs,1
34,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2016-2017/America-Stats#all_matchlogs,1
35,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2017-2018/America-Stats#all_matchlogs,1
36,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2018-2019/America-Stats#all_matchlogs,1
37,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2019-2020/America-Stats#all_matchlogs,1
38,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2020-2021/America-Stats#all_matchlogs,1
39,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2021-2022/America-Stats#all_matchlogs,1
40,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2022-2023/America-Stats#all_matchlogs,1
41,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2023-2024/America-Stats#all_matchlogs,1
41,América,America,America_scores_and_features,https://fbref.com/en/squads/18d3c3a3/2024-2025/America-Stats#all_matchlogs,1
42,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2003-2004/America-Stats#all_stats_keeper,2
43,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2004-2005/America-Stats#all_stats_keeper,2
44,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2005-2006/America-Stats#all_stats_keeper,2
45,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2006-2007/America-Stats#all_stats_keeper,2
46,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2007-2008/America-Stats#all_stats_keeper,2
47,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2008-2009/America-Stats#all_stats_keeper,2
48,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2009-2010/America-Stats#all_stats_keeper,2
49,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2010-2011/America-Stats#all_stats_keeper,2
50,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2011-2012/America-Stats#all_stats_keeper,2
51,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2012-2013/America-Stats#all_stats_keeper,2
52,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2013-2014/America-Stats#all_stats_keeper,2
53,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2014-2015/America-Stats#all_stats_keeper,2
54,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2015-2016/America-Stats#all_stats_keeper,2
55,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2016-2017/America-Stats#all_stats_keeper,2
56,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2017-2018/America-Stats#all_stats_keeper,2
57,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2018-2019/America-Stats#all_stats_keeper,2
58,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2019-2020/America-Stats#all_stats_keeper,2
59,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2020-2021/America-Stats#all_stats_keeper,2
60,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2021-2022/America-Stats#all_stats_keeper,2
61,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2022-2023/America-Stats#all_stats_keeper,2
62,América,America,America_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2023-2024/America-Stats#all_stats_keeper,2
63,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2003-2004/America-Stats#all_stats_keeper_adv,3
64,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2004-2005/America-Stats#all_stats_keeper_adv,3
65,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2005-2006/America-Stats#all_stats_keeper_adv,3
66,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2006-2007/America-Stats#all_stats_keeper_adv,3
67,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2007-2008/America-Stats#all_stats_keeper_adv,3
68,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2008-2009/America-Stats#all_stats_keeper_adv,3
69,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2009-2010/America-Stats#all_stats_keeper_adv,3
70,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2010-2011/America-Stats#all_stats_keeper_adv,3
71,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2011-2012/America-Stats#all_stats_keeper_adv,3
72,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2012-2013/America-Stats#all_stats_keeper_adv,3
73,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2013-2014/America-Stats#all_stats_keeper_adv,3
74,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2014-2015/America-Stats#all_stats_keeper_adv,3
75,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2015-2016/America-Stats#all_stats_keeper_adv,3
76,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2016-2017/America-Stats#all_stats_keeper_adv,3
77,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2017-2018/America-Stats#all_stats_keeper_adv,3
78,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2018-2019/America-Stats#all_stats_keeper_adv,3
79,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2019-2020/America-Stats#all_stats_keeper_adv,3
80,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2020-2021/America-Stats#all_stats_keeper_adv,3
81,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2021-2022/America-Stats#all_stats_keeper_adv,3
82,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2022-2023/America-Stats#all_stats_keeper_adv,3
83,América,America,America_adv_goalkeeping,https://fbref.com/en/squads/18d3c3a3/2023-2024/America-Stats#all_stats_keeper_adv,3
84,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2003-2004/America-Stats#all_stats_shooting,4
85,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2004-2005/America-Stats#all_stats_shooting,4
86,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2005-2006/America-Stats#all_stats_shooting,4
87,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2006-2007/America-Stats#all_stats_shooting,4
88,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2007-2008/America-Stats#all_stats_shooting,4
89,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2008-2009/America-Stats#all_stats_shooting,4
90,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2009-2010/America-Stats#all_stats_shooting,4
91,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2010-2011/America-Stats#all_stats_shooting,4
92,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2011-2012/America-Stats#all_stats_shooting,4
93,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2012-2013/America-Stats#all_stats_shooting,4
94,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2013-2014/America-Stats#all_stats_shooting,4
95,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2014-2015/America-Stats#all_stats_shooting,4
96,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2015-2016/America-Stats#all_stats_shooting,4
97,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2016-2017/America-Stats#all_stats_shooting,4
98,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2017-2018/America-Stats#all_stats_shooting,4
99,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2018-2019/America-Stats#all_stats_shooting,4
100,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2019-2020/America-Stats#all_stats_shooting,4
101,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2020-2021/America-Stats#all_stats_shooting,4
102,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2021-2022/America-Stats#all_stats_shooting,4
103,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2022-2023/America-Stats#all_stats_shooting,4
104,América,America,America_shootin,https://fbref.com/en/squads/18d3c3a3/2023-2024/America-Stats#all_stats_shooting,4
105,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2003-2004/America-Stats#all_stats_passing,5
106,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2004-2005/America-Stats#all_stats_passing,5
107,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2005-2006/America-Stats#all_stats_passing,5
108,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2006-2007/America-Stats#all_stats_passing,5
109,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2007-2008/America-Stats#all_stats_passing,5
110,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2008-2009/America-Stats#all_stats_passing,5
111,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2009-2010/America-Stats#all_stats_passing,5
112,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2010-2011/America-Stats#all_stats_passing,5
113,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2011-2012/America-Stats#all_stats_passing,5
114,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2012-2013/America-Stats#all_stats_passing,5
115,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2013-2014/America-Stats#all_stats_passing,5
116,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2014-2015/America-Stats#all_stats_passing,5
117,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2015-2016/America-Stats#all_stats_passing,5
118,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2016-2017/America-Stats#all_stats_passing,5
119,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2017-2018/America-Stats#all_stats_passing,5
120,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2018-2019/America-Stats#all_stats_passing,5
121,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2019-2020/America-Stats#all_stats_passing,5
122,América,America,America_passing,https://fbref.com/en/squads/18d3c3a3/2020-2021/America-Stats#all_stats_passing,5
