Jornada,MetaEquipo,Opponent,Venue
1,Queretaro,Tijuana,
1,Puebla,Santos_Laguna,
1,FC_Juarez,Atlas,
1,Atletico,America,
1,UANL,Necaxa,
1,Guadalajara,Toluca,
1,Cruz_Azul,Mazatlan,
1,Pumas_UNAM,Leon,
1,Pachuca,Monterrey,
2,America,Queretaro,
2,Atlas,UANL,
2,Mazatlan,Atletico,
2,Tijuana,Guadalajara,
2,Necaxa,Puebla,
2,Leon,Pachuca,
2,Toluca,FC_Juarez,
2,Santos_Laguna,Pumas_UNAM,
2,Monterrey,Cruz_Azul,
3,Queretaro,Guadalajara,
3,Atlas,Santos_Laguna,
3,Cruz_Azul,Tijuana,
3,Puebla,Leon,
3,Pachuca,Atletico,
3,FC_Juarez,Pumas_UNAM,
3,Toluca,Mazatlan,
3,Necaxa,Monterrey,
3,UANL,America,
4,Atletico,Tijuana,
4,Puebla,Atlas,
4,Guadalajara,Mazatlan,
4,Santos_Laguna,UANL,
4,Monterrey,Queretaro,
4,FC_Juarez,America,
4,Cruz_Azul,Toluca,
4,Pumas_UNAM,Pachuca,
4,Leon,Necaxa,
5,Queretaro,Cruz_Azul,
5,Mazatlan,Pachuca,
5,Tijuana,Monterrey,
5,Necaxa,FC_Juarez,
5,Leon,Santos_Laguna,
5,Atlas,Pumas_UNAM,
5,UANL,Guadalajara,
5,America,Puebla,
5,Toluca,Atletico,
6,Atletico,Atlas,
6,Mazatlan,Puebla,
6,Tijuana,Leon,
6,Pachuca,Queretaro,
6,Guadalajara,FC_Juarez,
6,Monterrey,Toluca,
6,Cruz_Azul,America,
6,Pumas_UNAM,UANL,
6,Santos_Laguna,Necaxa,
7,Puebla,Queretaro,
7,UANL,Atletico,
7,Atlas,Pachuca,
7,Necaxa,Pumas_UNAM,
7,Toluca,Tijuana,
7,America,Guadalajara,
7,Leon,Cruz_Azul,
7,Santos_Laguna,Monterrey,
7,FC_Juarez,Mazatlan,
8,Atletico,Cruz_Azul,
8,Pachuca,Toluca,
8,America,Atlas,
8,Queretaro,UANL,
8,Guadalajara,Leon,
8,Pumas_UNAM,Puebla,
8,Mazatlan,Necaxa,
8,Tijuana,Santos_Laguna,
8,Monterrey,FC_Juarez,
9,Atlas,Queretaro,
9,Puebla,Pachuca,
9,Leon,Atletico,
9,Necaxa,America,
9,Monterrey,Mazatlan,
9,Cruz_Azul,Guadalajara,
9,Pumas_UNAM,Tijuana,
9,Santos_Laguna,Toluca,
9,FC_Juarez,UANL,
10,Puebla,FC_Juarez,
10,Queretaro,Necaxa,
10,UANL,Leon,
10,Tijuana,Mazatlan,
10,Toluca,Atlas,
10,Pachuca,Cruz_Azul,
10,Guadalajara,Monterrey,
10,Atletico,Santos_Laguna,
10,America,Pumas_UNAM,
11,FC_Juarez,Queretaro,
11,Tijuana,Pachuca,
11,UANL,Puebla,
11,Atletico,Monterrey,
11,Guadalajara,Atlas,
11,Leon,America,
11,Cruz_Azul,Necaxa,
11,Santos_Laguna,FC_Juarez,
11,Toluca,Pumas_UNAM,
12,Atlas,Mazatlan,
12,Queretaro,Toluca,
12,Necaxa,Tijuana,
12,Puebla,Cruz_Azul,
12,Pachuca,Guadalajara,
12,America,Santos_Laguna,
12,FC_Juarez,Leon,
12,Monterrey,UANL,
12,Pumas_UNAM,Atletico,
13,Guadalajara,Necaxa,
13,Santos_Laguna,Pachuca,
13,Toluca,Puebla,
13,Mazatlan,UANL,
13,Atletico,Queretaro,
13,Cruz_Azul,FC_Juarez,
13,Monterrey,Pumas_UNAM,
13,Leon,Atlas,
13,Tijuana,America,
14,Santos_Laguna,Mazatlan,
14,Puebla,Guadalajara,
14,Leon,Queretaro,
14,Pumas_UNAM,Cruz_Azul,
14,UANL,Pachuca,
14,Atlas,Tijuana,
14,Necaxa,Toluca,
14,FC_Juarez,Atletico,
14,America,Monterrey,
15,Queretaro,FC_Juarez,
15,Tijuana,UANL,
15,Mazatlan,America,
15,Atletico,Puebla,
15,Toluca,Leon,
15,Guadalajara,Pumas_UNAM,
15,Monterrey,Atlas,
15,Pachuca,Necaxa,
15,Cruz_Azul,Santos_Laguna,
16,Leon,Mazatlan,
16,Pumas_UNAM,Queretaro,
16,Puebla,Monterrey,
16,Santos_Laguna,Guadalajara,
16,UANL,Toluca,
16,Necaxa,Atletico,
16,America,Pachuca,
16,Atlas,Cruz_Azul,
16,FC_Juarez,Tijuana,
17,Queretaro,Atletico,
17,Mazatlan,Pumas_UNAM,
17,Guadalajara,Atletico,
17,Pachuca,FC_Juarez,
17,Toluca,America,
17,Cruz_Azul,UANL,
17,Necaxa,Atlas,
17,Monterrey,Leon,
17,Tijuana,Puebla,
